Hero,Pick Rate
Abaddon,0.3
Alchemist,0.9
Ancient Apparition,0.8
Anti-Mage,1.4
Arc Warden,0.5
Axe,1.4
Bane,0.4
Batrider,0.2
Beastmaster,0.3
Bloodseeker,0.4
Bounty Hunter,0.8
Brewmaster,0.4
Bristleback,0.9
Broodmother,0.0
Centaur Warrunner,0.5
Chaos Knight,0.5
Chen,0.1
Clinkz,0.3
Clockwerk,0.8
Crystal Maiden,1.3
Dark Seer,0.2
Dark Willow,0.6
Dazzle,0.4
Death Prophet,0.2
Disruptor,0.8
Doom,0.5
Dragon Knight,0.4
Drow Ranger,0.7
Earth Spirit,0.6
Earthshaker,1.4
Elder Titan,0.1
Ember Spirit,0.7
Enchantress,0.2
Enigma,0.4
Faceless Void,1.6
Grimstroke,0.6
Gyrocopter,0.3
Hoodwink,1.6
Huskar,0.2
Invoker,2.5
Io,0.2
Jakiro,1.0
Juggernaut,2.5
Keeper of the Light,0.5
Kunkka,0.8
Legion Commander,2.3
Leshrac,0.4
Lich,1.2
Lifestealer,1.0
Lina,1.5
Lion,2.5
Lone Druid,0.2
Luna,0.5
Lycan,0.1
Magnus,0.8
Mars,1.7
Medusa,0.3
Meepo,0.2
Mirana,1.5
Monkey King,1.0
Morphling,0.9
Naga Siren,0.1
Nature's Prophet,0.4
Necrophos,0.5
Night Stalker,0.5
Nyx Assassin,0.4
Ogre Magi,2.3
Omniknight,0.3
Oracle,0.4
Outworld Devourer,0.3
Pangolier,0.9
Phantom Assassin,1.9
Phantom Lancer,0.4
Phoenix,0.6
Puck,0.6
Pudge,3.0
Pugna,0.4
Queen of Pain,1.0
Razor,0.2
Riki,0.4
Rubick,1.6
Sand King,0.9
Shadow Demon,0.3
Shadow Fiend,1.3
Shadow Shaman,1.7
Silencer,0.6
Skywrath Mage,0.6
Slardar,1.2
Slark,2.0
Snapfire,1.2
Sniper,0.6
Spectre,1.1
Spirit Breaker,1.0
Storm Spirit,1.2
Sven,1.1
Techies,0.9
Templar Assassin,0.4
Terrorblade,0.4
Tidehunter,0.7
Timbersaw,0.9
Tinker,1.0
Tiny,0.9
Treant Protector,0.5
Troll Warlord,0.6
Tusk,1.8
Underlord,0.8
Undying,0.8
Ursa,1.3
Vengeful Spirit,0.4
Venomancer,0.4
Viper,0.9
Visage,0.1
Void Spirit,1.5
Warlock,0.2
Weaver,0.3
Windranger,1.8
Winter Wyvern,0.4
Witch Doctor,1.2
Wraith King,1.1
Zeus,0.9
